,SoS Name,VEST Name,County
0,Precinct No. 9 - NS Ballot #1 ,Dicksinon 9,Dickinson
1,Precinct No. 7 ,Dickinson 7,Dickinson
2,Precinct No. 4 - NS Ballot #1,Dickinson 4,Dickinson
3,Precinct No. 6 - NS Ballot #1,Dickinson 6,Dickinson
4,Precinct No. 14 - S Ballot #1,Dickinson 14 - Spirit Lake West,Dickinson
5,Precinct No. 10,Dickinson 10,Dickinson
6,Precinct No. 12,Dickinson 12,Dickinson
7,Precinct No. 3,Dickinson 3,Dickinson
8,Precinct No. 11,Dickinson 11,Dickinson
9,Precinct No. 1,Dickinson 1,Dickinson
10,Precinct No. 2,Dickinson 2,Dickinson
11,Precinct No. 13 - S Ballot #1,Dickinson 13 - Spirit Lake North,Dickinson
12,Precinct No. 5,Dickinson 5,Dickinson
13,Precinct No. 15,Dickinson 15 - Spirit Lake South,Dickinson
14,Precinct No. 8,Dickinson 8,Dickinson
0,Garfield/Herdland,Garfield/Herdland,Clay
1,Logan/Gillett Grove,Logan/Gillett Grove,Clay
2,Lake/Freeman,Lake/Freeman,Clay
3,Douglas/Peterson,Douglas/Peterson,Clay
4,Lincoln/Clay,Lincoln/Clay,Clay
5,Waterford/Lone Tree,Waterford/Lone Tree,Clay
6,Summit/Riverton/Sioux/Meadow,Summit/Riverton/Sioux/Meadow,Clay
7,Spencer Ward 1,Spencer 1,Clay
8,Spencer Ward 2,Spencer 2,Clay
9,Spencer Ward 3,Spencer 3,Clay
10,Spencer Ward 5,Spencer 5,Clay
11,Spencer Ward 4,Spencer 4,Clay
0,Emmetsburg Ward 2,Emmetsburg 2,Palo Alto
1,Emmetsburg Ward 1,Emmetsburg 1,Palo Alto
2,GR/RV/LI/pt. HL&amp;WL,Palo Alto 6,Palo Alto
3,EM Ward 3/SL/pt. HL&amp;WL&amp;EM,Emmetsburg 3,Palo Alto
4,EMWard4/FV/FF/FR/IN/VN/ptEM,Emmetsburg 4,Palo Alto
5,WB/EL/RL/BO/GO/NV,Palo Alto 5,Palo Alto
0,Harris Precinct,Harris,Osceola
1,May City Precinct,May City,Osceola
2,Melvin Precinct,Melvin,Osceola
3,Ocheyedan Precinct,Ocheyedan,Osceola
4,Ashton Precinct,Ashton,Osceola
5,Osceola 1 Precinct,Osceola 1,Osceola
6,Osceola 2 Precinct,Osceola 2,Osceola
7,Osceola 3 Precinct,Osceola 3,Osceola
0,Little Rock Town and Country Bldg,Lyon County Precinct 6,Lyon
1,Lester City Hall,Lyon County Precinct 5,Lyon
2,Inwood City Hall,Lyon County Precinct 3,Lyon
3,Larchwood City Hall,Lyon County Precinct 4,Lyon
4,Rock Rapids Forster Bldg N,Lyon County Precinct 7,Lyon
5,Doon City Hall,Lyon County Precinct 2,Lyon
6,George Community Center,Lyon County Precinct 1,Lyon
7,Rock Rapids Forster Bldg S,Lyon County Precinct 8,Lyon
0,#6 Cherokee Ward 2,Cherokee city 2,Cherokee
1,#4 Cherokee,Cherokee 4,Cherokee
2,#3 Quimby,Cherokee 3,Cherokee
3,#7 Cherokee Ward 3,Cherokee city 3,Cherokee
4,#5 Cherokee Ward 1,Cherokee city 1,Cherokee
5,#1 Aurelia,Cherokee 1,Cherokee
6,#2 Cleghorn,Cherokee 2,Cherokee
0,Westfield Community Center,Plymouth 6,Plymouth
1,American Bank,Plymouth 2,Plymouth
2,Courthouse Annex,Plymouth 3,Plymouth
3,Brunsville Legion,Plymouth 4,Plymouth
4,Akron Public Library,Plymouth 1,Plymouth
5,Kissinger Community Center,Plymouth 7,Plymouth
6,Kingsley Community Center,Plymouth 10,Plymouth
7,Perry Township Hall,Plymouth 8,Plymouth
8,Le Mars Convention Center 13,Plymouth 13/Le Mars 3,Plymouth
9,Remsen Library,Plymouth 5,Plymouth
10,Hinton Community Center,Plymouth 9,Plymouth
11,Le Mars Convention Center 11,Plymouth 11/Le Mars 1,Plymouth
12,Le Mars Convention Center 12,Plymouth 12/Le Mars 2,Plymouth
0,Carroll-Floyd,O'Brien 1 - Carroll-Floyd,Obrien
1,Sheldon 3rd Ward,O'Brien 6 - Sheldon 3,Obrien
2,Sheldon 2nd Ward,O'Brien 5 - Sheldon 2,Obrien
3,Waterman-Grant-Liberty,O'Brien 9 - Waterman-Grant-Liberty,Obrien
4,Franklin,O'Brien 2 - Franklin,Obrien
5,Union-Baker-Caledonia,O'Brien 8 - Union-Baker-Caledonia,Obrien
6,Summit-Center-Dale-Highland,O'Brien 7 - Summit-Center-Dale-Highland,Obrien
7,Hartley-Lincoln-Omega,O'Brien 3 - Hartley-Lincoln-Omega,Obrien
8,Sheldon 1st Ward,O'Brien 4 - Sheldon 1,Obrien
0,Sherman,Sioux 12,Sioux
1,West Branch/Center North,Sioux 16,Sioux
2,Reading/Center South,Sioux 9,Sioux
3,Floyd/Lynn,"Sioux 2 - Floyd, Lynn",Sioux
4,Grant/Sheridan,"Sioux 3 - Grant, Sheridan",Sioux
5,Plato/Garfield/Settlers/Sioux/Eagle North,Sioux 8,Sioux
6,Rock Valley East,Sioux 10 - Rock Valley East,Sioux
7,Alton/Nassau/East Orange,Sioux 1,Sioux
8,Sioux Center Central,Sioux 14 - Sioux Center Central,Sioux
9,Rock Valley West/Rock,Sioux 11 - Rock Valley West,Sioux
10,Sioux Center North/Capel/Welcome,Sioux 13 - Sioux Center North,Sioux
11,Hawarden/Buncombe/Logan/Washington/Eagle South,Sioux 4,Sioux
12,Lincoln,Sioux 5,Sioux
13,Orange City No. 2/Holland East/Nassau,Sioux 7 - Orange City 2,Sioux
14,Orange City No. 1/Holland West,Sioux 6 - Orange City 1,Sioux
15,Sioux Center South,Sioux 15 - Sioux Center South,Sioux
0,West Precinct,Greene Co West,Greene
1,North Precinct,Greene Co North,Greene
2,Jefferson 1 Precinct,Jefferson Precinct 1,Greene
3,Central Precinct,Greene Co Central,Greene
4,Jefferson 2 Precinct,Jefferson Precinct 2,Greene
5,East Precinct,Greene Co East,Greene
6,Jefferson 3 Precinct,Jefferson Precinct 3,Greene
0,Rural Precinct 5,Boone-Rural Precinct 5,Boone
1,Rural Precinct 3,Boone-Rural Precinct 3,Boone
2,Madrid 3rd Ward,Madrid 3,Boone
3,Madrid 1st Ward,Madrid 1,Boone
4,Madrid 2nd Ward,Madrid 2,Boone
5,Rural Precinct 1,Boone-Rural Precinct 1,Boone
6,Ogden,Boone-City of Ogden,Boone
7,Rural Precinct 6,Boone-Rural Precinct 6,Boone
8,Rural Precinct 2,Boone-Rural Precinct 2,Boone
9,Rural Precinct 4,Boone-Rural Precinct 4,Boone
10,Boone 1st Ward,Boone 1,Boone
11,Boone 5th Ward,Boone 5,Boone
12,Boone 2nd Ward,Boone 2,Boone
13,Boone 3rd Ward,Boone 3,Boone
14,Boone 4th Ward &amp;amp; DSM Twp,Boone-Rural and Boone City 4,Boone
0,PRECINCT 2,Hamilton 2 - BL-LB-WM,Hamilton
1,PRECINCT 5,Hamilton 5 - LC-RG-SC,Hamilton
2,PRECINCT 1,Hamilton 1 - CA-FD-FMN-IN,Hamilton
3,WEBSTER CITY 3,Webster City 3,Hamilton
4,PRECINCT 4,Hamilton 4 - LY-EL,Hamilton
5,PRECINCT 3,Hamilton 3 - CL-HA-MN-WB,Hamilton
6,WEBSTER CITY 1,Webster City 1,Hamilton
7,WEBSTER CITY 2,Webster City 2,Hamilton
0,Cooper Township,Cooper,Webster
1,Newark,Newark,Webster
2,Washington Township,Washington,Webster
3,Johnson,Johnson,Webster
4,Lost Grove,Lost Grove,Webster
5,Fulton,Fulton,Webster
6,Fort Dodge #6,Fort Dodge 6,Webster
7,Colfax-Duncombe,Colfax/Duncombe,Webster
8,Clay-Roland,Clay/Roland,Webster
9,Elkhorn Township,Elkhorn,Webster
10,Deer Creek-Jackson,Deer Creek/Jackson,Webster
11,Sumner-Webster-Yell- Hardin,Sumner/Webster/Yell/Hardin,Webster
12,Fort Dodge #5,Fort Dodge 5,Webster
13,Gowrie,Gowrie,Webster
14,Douglas Township,Douglas,Webster
15,Fort Dodge #7,Fort Dodge 7,Webster
16,Fort Dodge #8,Fort Dodge 8,Webster
17,Fort Dodge #9,Fort Dodge 9,Webster
18,Dayton-Burnside,Dayton-Burnside,Webster
19,Otho-Pleasant Valley,Otho/Pleasant Valley,Webster
20,Badger-NW Cooper,Badger,Webster
21,Fort Dodge #3,Fort Dodge 3,Webster
22,Fort Dodge #4,Fort Dodge 4,Webster
23,Fort Dodge #12,Fort Dodge 12,Webster
24,Fort Dodge #10,Fort Dodge 10,Webster
25,Fort Dodge #2,Fort Dodge 2,Webster
26,Fort Dodge #1,Fort Dodge 1,Webster
27,Fort Dodge #11,Fort Dodge 11,Webster
0,PRECINCT 2,Grundy precinct 2,Grundy
1,PRECINCT 4,Grundy precinct 4,Grundy
2,PRECINCT 3,Grundy Precinct 3,Grundy
3,PRECINCT 1,Grundy precinct 1,Grundy
4,PRECINCT 7,Grundy precinct 7,Grundy
5,PRECINCT 5,Grundy Precinct 5,Grundy
6,PRECINCT 6,Grundy Precinct 6,Grundy
0,Alden/Buckeye,Hardin County Alden/ Buckeye Precinct,Hardin
1,Hardin/Ellis/Jackson,Hardin County Hardin/ Ellis/ Jackson Pct,Hardin
2,Eldora/Pleasant/Providence/Union,Hardin Cnty Eldora/ Pleasant/ Provid/ Union,Hardin
3,Iowa Falls #1,Hardin County Iowa Falls 1 Precinct,Hardin
4,Eldora City,Hardin County Eldora City Precinct,Hardin
5,Etna/Clay,Hardin County Etna/ Clay Precinct,Hardin
6,Concord/Sherman/Grant/Tipton,Hardin Cnty Concord/ Sherman/ Grant/ Tipton,Hardin
7,Iowa Falls #2,Hardin County Iowa Falls 2 Precinct,Hardin
0,8-NH,Butler 8 - NH,Butler
1,3-DU,Butler 3 - DU,Butler
2,4-AL,Butler 4 - AL,Butler
3,5-AP,Butler 5 - AP,Butler
4,1-GR,Butler 1 - GR,Butler
5,2-CL,Butler 2 - CL,Butler
6,7-PB,Butler 7 - PB,Butler
7,6-SR,Butler 6 - SR,Butler
0,Scott - Union - Pleasant Grove,Scott-Union-Pleasant Grove,Floyd
1,Rockford - Ulster,Rockford-Ulster,Floyd
2,Floyd - Cedar - Niles,Floyd-Cedar-Niles,Floyd
3,Charles City Corp / CC3,Charles City 3,Floyd
4,Charles City Corp / CC1,Charles City 1,Floyd
5,St. Charles - Riverton,St. Charles-Riverton,Floyd
6,Rock Grove - Rudd,Rock Grove-Rudd,Floyd
7,Charles City Corp / CC2,Charles City 2,Floyd
0,Grimes Twp - Meservey Pct,Grimes-Meservey,Cerro Gordo
1,Grimes Twp - Thornton Pct,Grimes-Thornton,Cerro Gordo
2,Falls Twp - Rock Falls Pct,Falls-Rock Falls,Cerro Gordo
3,Lake / Lincoln Twps Pct,Lake/Lincoln,Cerro Gordo
4,Lime Creek / Mason North Twps Pct,Lime Creek/Mason North,Cerro Gordo
